Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,symmetric,0.31,0.49864310133951123
75% Corpus,3,symmetric,0.61,0.48988526066864885
75% Corpus,3,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,3,symmetric,symmetric,0.49857024336851197
75% Corpus,3,asymmetric,0.01,0.5164061355738535
75% Corpus,3,asymmetric,0.31,0.5186970079527373
75% Corpus,3,asymmetric,0.61,0.5050475145046268
75% Corpus,3,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,3,asymmetric,symmetric,0.5237662243951323
75% Corpus,4,0.01,0.01,0.4971856194704424
75% Corpus,4,0.01,0.31,0.49857942878638817
75% Corpus,4,0.01,0.61,0.48988526066864874
75% Corpus,4,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,4,0.01,symmetric,0.49469541401562367
75% Corpus,4,0.31,0.01,0.5006853100683938
75% Corpus,4,0.31,0.31,0.5001140226663646
75% Corpus,4,0.31,0.61,0.49377148106841756
75% Corpus,4,0.31,0.9099999999999999,0.460125039149094
75% Corpus,4,0.31,symmetric,0.49545798112910494
75% Corpus,4,0.61,0.01,0.5051364215126333
75% Corpus,4,0.61,0.31,0.5036204951542064
75% Corpus,4,0.61,0.61,0.506499136166828
75% Corpus,4,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,4,0.61,symmetric,0.5039354896253497
75% Corpus,4,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,4,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,4,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,4,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,4,symmetric,0.01,0.49786275458393064
75% Corpus,4,symmetric,0.31,0.49864310133951123
75% Corpus,4,symmetric,0.61,0.48988526066864885
75% Corpus,4,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,4,symmetric,symmetric,0.49857024336851197
75% Corpus,4,asymmetric,0.01,0.5164061355738535
75% Corpus,4,asymmetric,0.31,0.5186970079527373
75% Corpus,4,asymmetric,0.61,0.5050475145046268
75% Corpus,4,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,4,asymmetric,symmetric,0.5237662243951323
75% Corpus,5,0.01,0.01,0.4971856194704424
75% Corpus,5,0.01,0.31,0.49857942878638817
75% Corpus,5,0.01,0.61,0.48988526066864874
75% Corpus,5,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,5,0.01,symmetric,0.49469541401562367
75% Corpus,5,0.31,0.01,0.5006853100683938
75% Corpus,5,0.31,0.31,0.5001140226663646
75% Corpus,5,0.31,0.61,0.49377148106841756
75% Corpus,5,0.31,0.9099999999999999,0.460125039149094
75% Corpus,5,0.31,symmetric,0.49545798112910494
75% Corpus,5,0.61,0.01,0.5051364215126333
75% Corpus,5,0.61,0.31,0.5036204951542064
75% Corpus,5,0.61,0.61,0.506499136166828
75% Corpus,5,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,5,0.61,symmetric,0.5039354896253497
75% Corpus,5,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,5,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,5,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,5,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,5,symmetric,0.01,0.49786275458393064
75% Corpus,5,symmetric,0.31,0.49864310133951123
75% Corpus,5,symmetric,0.61,0.48988526066864885
75% Corpus,5,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,5,symmetric,symmetric,0.49857024336851197
75% Corpus,5,asymmetric,0.01,0.5164061355738535
75% Corpus,5,asymmetric,0.31,0.5186970079527373
75% Corpus,5,asymmetric,0.61,0.5050475145046268
75% Corpus,5,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,5,asymmetric,symmetric,0.5237662243951323
75% Corpus,6,0.01,0.01,0.4971856194704424
75% Corpus,6,0.01,0.31,0.49857942878638817
75% Corpus,6,0.01,0.61,0.48988526066864874
75% Corpus,6,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,6,0.01,symmetric,0.49469541401562367
75% Corpus,6,0.31,0.01,0.5006853100683938
75% Corpus,6,0.31,0.31,0.5001140226663646
75% Corpus,6,0.31,0.61,0.49377148106841756
75% Corpus,6,0.31,0.9099999999999999,0.460125039149094
75% Corpus,6,0.31,symmetric,0.49545798112910494
75% Corpus,6,0.61,0.01,0.5051364215126333
75% Corpus,6,0.61,0.31,0.5036204951542064
75% Corpus,6,0.61,0.61,0.506499136166828
75% Corpus,6,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,6,0.61,symmetric,0.5039354896253497
75% Corpus,6,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,6,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,6,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,6,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,6,symmetric,0.01,0.49786275458393064
75% Corpus,6,symmetric,0.31,0.49864310133951123
75% Corpus,6,symmetric,0.61,0.48988526066864885
75% Corpus,6,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,6,symmetric,symmetric,0.49857024336851197
75% Corpus,6,asymmetric,0.01,0.5164061355738535
75% Corpus,6,asymmetric,0.31,0.5186970079527373
75% Corpus,6,asymmetric,0.61,0.5050475145046268
75% Corpus,6,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,6,asymmetric,symmetric,0.5237662243951323
75% Corpus,7,0.01,0.01,0.4971856194704424
75% Corpus,7,0.01,0.31,0.49857942878638817
75% Corpus,7,0.01,0.61,0.48988526066864874
75% Corpus,7,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,7,0.01,symmetric,0.49469541401562367
75% Corpus,7,0.31,0.01,0.5006853100683938
75% Corpus,7,0.31,0.31,0.5001140226663646
75% Corpus,7,0.31,0.61,0.49377148106841756
75% Corpus,7,0.31,0.9099999999999999,0.460125039149094
75% Corpus,7,0.31,symmetric,0.49545798112910494
75% Corpus,7,0.61,0.01,0.5051364215126333
75% Corpus,7,0.61,0.31,0.5036204951542064
75% Corpus,7,0.61,0.61,0.506499136166828
75% Corpus,7,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,7,0.61,symmetric,0.5039354896253497
75% Corpus,7,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,7,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,7,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,7,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,7,symmetric,0.01,0.49786275458393064
75% Corpus,7,symmetric,0.31,0.49864310133951123
75% Corpus,7,symmetric,0.61,0.48988526066864885
75% Corpus,7,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,7,symmetric,symmetric,0.49857024336851197
75% Corpus,7,asymmetric,0.01,0.5164061355738535
75% Corpus,7,asymmetric,0.31,0.5186970079527373
75% Corpus,7,asymmetric,0.61,0.5050475145046268
75% Corpus,7,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,7,asymmetric,symmetric,0.5237662243951323
75% Corpus,8,0.01,0.01,0.4971856194704424
75% Corpus,8,0.01,0.31,0.49857942878638817
75% Corpus,8,0.01,0.61,0.48988526066864874
75% Corpus,8,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,8,0.01,symmetric,0.49469541401562367
75% Corpus,8,0.31,0.01,0.5006853100683938
75% Corpus,8,0.31,0.31,0.5001140226663646
75% Corpus,8,0.31,0.61,0.49377148106841756
75% Corpus,8,0.31,0.9099999999999999,0.460125039149094
75% Corpus,8,0.31,symmetric,0.49545798112910494
75% Corpus,8,0.61,0.01,0.5051364215126333
75% Corpus,8,0.61,0.31,0.5036204951542064
75% Corpus,8,0.61,0.61,0.506499136166828
75% Corpus,8,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,8,0.61,symmetric,0.5039354896253497
75% Corpus,8,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,8,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,8,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,8,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,8,symmetric,0.01,0.49786275458393064
75% Corpus,8,symmetric,0.31,0.49864310133951123
75% Corpus,8,symmetric,0.61,0.48988526066864885
75% Corpus,8,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,8,symmetric,symmetric,0.49857024336851197
75% Corpus,8,asymmetric,0.01,0.5164061355738535
75% Corpus,8,asymmetric,0.31,0.5186970079527373
75% Corpus,8,asymmetric,0.61,0.5050475145046268
75% Corpus,8,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,8,asymmetric,symmetric,0.5237662243951323
75% Corpus,9,0.01,0.01,0.4971856194704424
75% Corpus,9,0.01,0.31,0.49857942878638817
75% Corpus,9,0.01,0.61,0.48988526066864874
75% Corpus,9,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,9,0.01,symmetric,0.49469541401562367
75% Corpus,9,0.31,0.01,0.5006853100683938
75% Corpus,9,0.31,0.31,0.5001140226663646
75% Corpus,9,0.31,0.61,0.49377148106841756
75% Corpus,9,0.31,0.9099999999999999,0.460125039149094
75% Corpus,9,0.31,symmetric,0.49545798112910494
75% Corpus,9,0.61,0.01,0.5051364215126333
75% Corpus,9,0.61,0.31,0.5036204951542064
75% Corpus,9,0.61,0.61,0.506499136166828
75% Corpus,9,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,9,0.61,symmetric,0.5039354896253497
75% Corpus,9,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,9,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,9,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,9,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,9,symmetric,0.01,0.49786275458393064
75% Corpus,9,symmetric,0.31,0.49864310133951123
75% Corpus,9,symmetric,0.61,0.48988526066864885
75% Corpus,9,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,9,symmetric,symmetric,0.49857024336851197
75% Corpus,9,asymmetric,0.01,0.5164061355738535
75% Corpus,9,asymmetric,0.31,0.5186970079527373
75% Corpus,9,asymmetric,0.61,0.5050475145046268
75% Corpus,9,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,9,asymmetric,symmetric,0.5237662243951323
75% Corpus,10,0.01,0.01,0.4971856194704424
75% Corpus,10,0.01,0.31,0.49857942878638817
75% Corpus,10,0.01,0.61,0.48988526066864874
75% Corpus,10,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,10,0.01,symmetric,0.49469541401562367
75% Corpus,10,0.31,0.01,0.5006853100683938
75% Corpus,10,0.31,0.31,0.5001140226663646
75% Corpus,10,0.31,0.61,0.49377148106841756
75% Corpus,10,0.31,0.9099999999999999,0.460125039149094
75% Corpus,10,0.31,symmetric,0.49545798112910494
75% Corpus,10,0.61,0.01,0.5051364215126333
75% Corpus,10,0.61,0.31,0.5036204951542064
75% Corpus,10,0.61,0.61,0.506499136166828
75% Corpus,10,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,10,0.61,symmetric,0.5039354896253497
75% Corpus,10,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,10,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,10,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,10,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,10,symmetric,0.01,0.49786275458393064
75% Corpus,10,symmetric,0.31,0.49864310133951123
75% Corpus,10,symmetric,0.61,0.48988526066864885
75% Corpus,10,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,10,symmetric,symmetric,0.49857024336851197
75% Corpus,10,asymmetric,0.01,0.5164061355738535
75% Corpus,10,asymmetric,0.31,0.5186970079527373
75% Corpus,10,asymmetric,0.61,0.5050475145046268
75% Corpus,10,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,10,asymmetric,symmetric,0.5237662243951323
75% Corpus,11,0.01,0.01,0.4971856194704424
75% Corpus,11,0.01,0.31,0.49857942878638817
75% Corpus,11,0.01,0.61,0.48988526066864874
75% Corpus,11,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,11,0.01,symmetric,0.49469541401562367
75% Corpus,11,0.31,0.01,0.5006853100683938
75% Corpus,11,0.31,0.31,0.5001140226663646
75% Corpus,11,0.31,0.61,0.49377148106841756
75% Corpus,11,0.31,0.9099999999999999,0.460125039149094
75% Corpus,11,0.31,symmetric,0.49545798112910494
75% Corpus,11,0.61,0.01,0.5051364215126333
75% Corpus,11,0.61,0.31,0.5036204951542064
75% Corpus,11,0.61,0.61,0.506499136166828
75% Corpus,11,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,11,0.61,symmetric,0.5039354896253497
75% Corpus,11,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,11,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,11,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,11,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,11,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,11,symmetric,0.01,0.49786275458393064
75% Corpus,11,symmetric,0.31,0.49864310133951123
75% Corpus,11,symmetric,0.61,0.48988526066864885
75% Corpus,11,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,11,symmetric,symmetric,0.49857024336851197
75% Corpus,11,asymmetric,0.01,0.5164061355738535
75% Corpus,11,asymmetric,0.31,0.5186970079527373
75% Corpus,11,asymmetric,0.61,0.5050475145046268
75% Corpus,11,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,11,asymmetric,symmetric,0.5237662243951323
75% Corpus,12,0.01,0.01,0.4971856194704424
75% Corpus,12,0.01,0.31,0.49857942878638817
75% Corpus,12,0.01,0.61,0.48988526066864874
75% Corpus,12,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,12,0.01,symmetric,0.49469541401562367
75% Corpus,12,0.31,0.01,0.5006853100683938
75% Corpus,12,0.31,0.31,0.5001140226663646
75% Corpus,12,0.31,0.61,0.49377148106841756
75% Corpus,12,0.31,0.9099999999999999,0.460125039149094
75% Corpus,12,0.31,symmetric,0.49545798112910494
75% Corpus,12,0.61,0.01,0.5051364215126333
75% Corpus,12,0.61,0.31,0.5036204951542064
75% Corpus,12,0.61,0.61,0.506499136166828
75% Corpus,12,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,12,0.61,symmetric,0.5039354896253497
75% Corpus,12,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,12,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,12,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,12,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,12,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,12,symmetric,0.01,0.49786275458393064
75% Corpus,12,symmetric,0.31,0.49864310133951123
75% Corpus,12,symmetric,0.61,0.48988526066864885
75% Corpus,12,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,12,symmetric,symmetric,0.49857024336851197
75% Corpus,12,asymmetric,0.01,0.5164061355738535
75% Corpus,12,asymmetric,0.31,0.5186970079527373
75% Corpus,12,asymmetric,0.61,0.5050475145046268
75% Corpus,12,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,12,asymmetric,symmetric,0.5237662243951323
75% Corpus,13,0.01,0.01,0.4971856194704424
75% Corpus,13,0.01,0.31,0.49857942878638817
75% Corpus,13,0.01,0.61,0.48988526066864874
75% Corpus,13,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,13,0.01,symmetric,0.49469541401562367
75% Corpus,13,0.31,0.01,0.5006853100683938
75% Corpus,13,0.31,0.31,0.5001140226663646
75% Corpus,13,0.31,0.61,0.49377148106841756
75% Corpus,13,0.31,0.9099999999999999,0.460125039149094
75% Corpus,13,0.31,symmetric,0.49545798112910494
75% Corpus,13,0.61,0.01,0.5051364215126333
75% Corpus,13,0.61,0.31,0.5036204951542064
75% Corpus,13,0.61,0.61,0.506499136166828
75% Corpus,13,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,13,0.61,symmetric,0.5039354896253497
75% Corpus,13,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,13,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,13,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,13,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,13,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,13,symmetric,0.01,0.49786275458393064
75% Corpus,13,symmetric,0.31,0.49864310133951123
75% Corpus,13,symmetric,0.61,0.48988526066864885
75% Corpus,13,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,13,symmetric,symmetric,0.49857024336851197
75% Corpus,13,asymmetric,0.01,0.5164061355738535
75% Corpus,13,asymmetric,0.31,0.5186970079527373
75% Corpus,13,asymmetric,0.61,0.5050475145046268
75% Corpus,13,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,13,asymmetric,symmetric,0.5237662243951323
75% Corpus,14,0.01,0.01,0.4971856194704424
75% Corpus,14,0.01,0.31,0.49857942878638817
75% Corpus,14,0.01,0.61,0.48988526066864874
75% Corpus,14,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,14,0.01,symmetric,0.49469541401562367
75% Corpus,14,0.31,0.01,0.5006853100683938
75% Corpus,14,0.31,0.31,0.5001140226663646
75% Corpus,14,0.31,0.61,0.49377148106841756
75% Corpus,14,0.31,0.9099999999999999,0.460125039149094
75% Corpus,14,0.31,symmetric,0.49545798112910494
75% Corpus,14,0.61,0.01,0.5051364215126333
75% Corpus,14,0.61,0.31,0.5036204951542064
75% Corpus,14,0.61,0.61,0.506499136166828
75% Corpus,14,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,14,0.61,symmetric,0.5039354896253497
75% Corpus,14,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,14,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,14,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,14,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,14,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,14,symmetric,0.01,0.49786275458393064
75% Corpus,14,symmetric,0.31,0.49864310133951123
75% Corpus,14,symmetric,0.61,0.48988526066864885
75% Corpus,14,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,14,symmetric,symmetric,0.49857024336851197
75% Corpus,14,asymmetric,0.01,0.5164061355738535
75% Corpus,14,asymmetric,0.31,0.5186970079527373
75% Corpus,14,asymmetric,0.61,0.5050475145046268
75% Corpus,14,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,14,asymmetric,symmetric,0.5237662243951323
75% Corpus,15,0.01,0.01,0.4971856194704424
75% Corpus,15,0.01,0.31,0.49857942878638817
75% Corpus,15,0.01,0.61,0.48988526066864874
75% Corpus,15,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,15,0.01,symmetric,0.49469541401562367
75% Corpus,15,0.31,0.01,0.5006853100683938
75% Corpus,15,0.31,0.31,0.5001140226663646
75% Corpus,15,0.31,0.61,0.49377148106841756
75% Corpus,15,0.31,0.9099999999999999,0.460125039149094
75% Corpus,15,0.31,symmetric,0.49545798112910494
75% Corpus,15,0.61,0.01,0.5051364215126333
75% Corpus,15,0.61,0.31,0.5036204951542064
75% Corpus,15,0.61,0.61,0.506499136166828
75% Corpus,15,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,15,0.61,symmetric,0.5039354896253497
75% Corpus,15,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,15,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,15,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,15,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,15,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,15,symmetric,0.01,0.49786275458393064
75% Corpus,15,symmetric,0.31,0.49864310133951123
75% Corpus,15,symmetric,0.61,0.48988526066864885
75% Corpus,15,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,15,symmetric,symmetric,0.49857024336851197
75% Corpus,15,asymmetric,0.01,0.5164061355738535
75% Corpus,15,asymmetric,0.31,0.5186970079527373
75% Corpus,15,asymmetric,0.61,0.5050475145046268
75% Corpus,15,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,15,asymmetric,symmetric,0.5237662243951323
75% Corpus,16,0.01,0.01,0.4971856194704424
75% Corpus,16,0.01,0.31,0.49857942878638817
75% Corpus,16,0.01,0.61,0.48988526066864874
75% Corpus,16,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,16,0.01,symmetric,0.49469541401562367
75% Corpus,16,0.31,0.01,0.5006853100683938
75% Corpus,16,0.31,0.31,0.5001140226663646
75% Corpus,16,0.31,0.61,0.49377148106841756
75% Corpus,16,0.31,0.9099999999999999,0.460125039149094
75% Corpus,16,0.31,symmetric,0.49545798112910494
75% Corpus,16,0.61,0.01,0.5051364215126333
75% Corpus,16,0.61,0.31,0.5036204951542064
75% Corpus,16,0.61,0.61,0.506499136166828
75% Corpus,16,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,16,0.61,symmetric,0.5039354896253497
75% Corpus,16,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,16,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,16,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,16,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,16,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,16,symmetric,0.01,0.49786275458393064
75% Corpus,16,symmetric,0.31,0.49864310133951123
75% Corpus,16,symmetric,0.61,0.48988526066864885
75% Corpus,16,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,16,symmetric,symmetric,0.49857024336851197
75% Corpus,16,asymmetric,0.01,0.5164061355738535
75% Corpus,16,asymmetric,0.31,0.5186970079527373
75% Corpus,16,asymmetric,0.61,0.5050475145046268
75% Corpus,16,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,16,asymmetric,symmetric,0.5237662243951323
75% Corpus,17,0.01,0.01,0.4971856194704424
75% Corpus,17,0.01,0.31,0.49857942878638817
75% Corpus,17,0.01,0.61,0.48988526066864874
75% Corpus,17,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,17,0.01,symmetric,0.49469541401562367
75% Corpus,17,0.31,0.01,0.5006853100683938
75% Corpus,17,0.31,0.31,0.5001140226663646
75% Corpus,17,0.31,0.61,0.49377148106841756
75% Corpus,17,0.31,0.9099999999999999,0.460125039149094
75% Corpus,17,0.31,symmetric,0.49545798112910494
75% Corpus,17,0.61,0.01,0.5051364215126333
75% Corpus,17,0.61,0.31,0.5036204951542064
75% Corpus,17,0.61,0.61,0.506499136166828
75% Corpus,17,0.61,0.9099999999999999,0.4667490102720109
75% Corpus,17,0.61,symmetric,0.5039354896253497
75% Corpus,17,0.9099999999999999,0.01,0.5045343004380765
75% Corpus,17,0.9099999999999999,0.31,0.5020588137216742
75% Corpus,17,0.9099999999999999,0.61,0.4880384126844393
75% Corpus,17,0.9099999999999999,0.9099999999999999,0.46607424872540937
75% Corpus,17,0.9099999999999999,symmetric,0.5049318861167269
75% Corpus,17,symmetric,0.01,0.49786275458393064
75% Corpus,17,symmetric,0.31,0.49864310133951123
75% Corpus,17,symmetric,0.61,0.48988526066864885
75% Corpus,17,symmetric,0.9099999999999999,0.4617522170068086
75% Corpus,17,symmetric,symmetric,0.49857024336851197
75% Corpus,17,asymmetric,0.01,0.5164061355738535
75% Corpus,17,asymmetric,0.31,0.5186970079527373
75% Corpus,17,asymmetric,0.61,0.5050475145046268
75% Corpus,17,asymmetric,0.9099999999999999,0.480506655599412
75% Corpus,17,asymmetric,symmetric,0.5237662243951323
75% Corpus,18,0.01,0.01,0.4971856194704424
75% Corpus,18,0.01,0.31,0.49857942878638817
75% Corpus,18,0.01,0.61,0.48988526066864874
75% Corpus,18,0.01,0.9099999999999999,0.4633756720882688
75% Corpus,18,0.01,symmetric,0.49469541401562367
75% Corpus,18,0.31,0.01,0.5006853100683938
75% Corpus,18,0.31,0.31,0.5001140226663646
75% Corpus,18,0.31,0.61,0.49377148106841756
75% Corpus,18,0.31,0.9099999999999999,0.460125039149094
75% Corpus,18,0.31,symmetric,0.49545798112910494
75% Corpus,18,0.61,0.01,0.5051364215126333
